Timestamp	ICMP Ping	rDNS	Serviceprobe	Hostprobes	Syncscan	TcpIP Fingerprint	Traceroute	IP Seq	
1340100000	0	0	0	8736609	1388978	159728	1004809	151250	
1340114400	0	0	0	7356868	1179735	135771	1000010	127240	
1340128800	0	0	0	9672668	1454896	169923	312930	157598	
1340143200	0	0	0	15189178	2221454	260793	18878	247072	
1340157600	0	0	0	16176739	2445595	285994	4677	270988	
1340172000	0	0	0	15215973	2377754	278183	3819	260261	
1340186400	0	0	0	13930914	2305682	264832	0	249421	
1340200800	0	0	0	5453946	936750	106931	0	97861	
1340215200	0	0	0	13561629	2069000	238362	0	222552	
1340229600	0	0	0	14800049	0	252440	0	236573	
1340244000	0	0	0	14705063	2283230	259510	0	238586	
1340258400	0	0	0	2650591	418073	48488	0	44844	
1340272800	0	0	0	8691237	1338976	155705	0	143832	
1340287200	0	0	0	6388644	983899	110030	0	101288	
1340301600	0	0	0	8685899	1286418	146891	0	135727	
1340316000	0	0	0	7922489	1176215	135201	0	125037	
1340330400	0	0	0	2332690	331980	39616	0	36856	
1340344800	0	0	0	253647	32116	4100	0	3808	
1340359200	0	0	0	33344	4309	0	0	0	
1340373600	0	0	0	0	0	0	0	0	
1340388000	0	0	0	0	0	0	0	0	
1340402400	0	0	2815	0	0	0	0	0	
1340416800	0	0	895907	0	0	0	0	0	
1340431200	0	0	2772771	0	0	0	0	0	
1340445600	0	0	3167277	0	0	0	0	0	
1340460000	0	0	2319654	0	0	0	0	0	
1340474400	0	0	2708355	0	0	0	0	0	
1340488800	0	0	6651995	0	0	0	0	0	
1340503200	0	0	14361101	0	0	0	0	0	
1340517600	0	0	15644876	0	0	0	0	0	
1340532000	0	0	9641462	0	0	0	0	0	
1340546400	0	0	7848639	0	0	0	0	0	
1340560800	0	0	3385761	0	0	0	0	0	
1340575200	0	0	1856421	0	0	0	0	0	
1340589600	0	0	0	0	0	0	0	0	
1340604000	0	0	4123350	279284	38332	4254	0	3958	
1340618400	0	0	9527140	2717	0	0	0	0	
1340632800	0	0	18974918	0	0	0	0	0	
1340647200	0	0	24181770	0	0	0	0	0	
1340661600	0	0	41192954	3768	0	0	0	0	
1340676000	0	0	62102563	0	0	0	0	0	
1340690400	0	0	80821509	0	0	0	0	0	
1340704800	0	0	47666376	0	0	0	0	0	
1340719200	0	0	55402696	2149114	286114	32179	0	30102	
1340733600	0	0	50555284	0	0	0	0	0	
1340748000	0	0	42517393	0	0	0	0	0	
1340762400	0	0	42466450	0	0	0	0	0	
1340776800	0	0	48755888	0	0	0	0	0	
1340791200	0	0	57814751	0	0	0	0	0	
1340805600	0	0	60032690	0	0	0	0	0	
1340820000	0	0	82014370	0	0	0	0	0	
1340834400	0	0	73200620	0	0	0	0	0	
1340848800	0	0	73893476	0	0	0	0	0	
1340863200	0	0	72510321	0	0	0	0	0	
1340877600	0	0	51220236	0	0	0	0	0	
1340892000	0	0	33444011	0	0	0	0	0	
1340906400	0	0	36079113	0	0	0	0	0	
1340920800	0	0	43462767	0	0	0	0	0	
1340935200	0	0	68558268	0	0	0	0	0	
1340949600	0	0	80522542	0	0	0	393710	0	
1340964000	0	0	0	0	0	0	0	0	
1340978400	0	0	57997982	0	0	0	0	0	
1340992800	0	0	0	0	0	0	0	0	
1341007200	0	0	52243273	0	0	0	37417	0	
